"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2022,"José Abreu","CHW",157,601,183,128,40,0,15,85,75,62,2,110,12,4,0,19,0,0,679,0.091,0.162,0.56,0.304,0.378,0.446,0.824,0.141,1.4,0.35,1,-1.9,-1.5,-0.8,105,27.8,0.361,137,0.237
2023,"José Abreu","HOU",141,540,128,86,23,1,18,62,90,42,1,130,6,6,0,16,0,1,594,0.071,0.219,0.32,0.237,0.296,0.383,0.68,0.146,2,0.276,-1.3,-1.4,-1.1,-1.4,61,-11.4,0.295,86,0.124
2022,"José Barrero","CIN",48,165,25,20,3,0,2,13,10,9,0,76,0,0,0,4,4,1,174,0.052,0.437,0.12,0.152,0.195,0.206,0.401,0.055,4.5,0.264,0.8,-0.2,0.3,0.3,2,-17.6,0.183,6,0.218
2023,"José Caballero","SEA",104,231,51,37,9,1,4,37,26,28,0,66,17,4,0,0,26,3,280,0.1,0.236,0.42,0.221,0.343,0.32,0.663,0.1,7.8,0.285,0.3,1.6,-0.3,3.3,31,-3.2,0.305,99,0.227
2020,"José Ramírez","CLE",58,219,64,30,16,1,17,45,46,31,0,43,3,1,0,2,10,3,254,0.122,0.169,0.72,0.292,0.386,0.607,0.993,0.315,5.8,0.294,0.2,1.2,0.4,0.5,52,20.3,0.415,167,0.266
2021,"José Ramírez","CLE",152,552,147,74,32,5,36,111,103,72,10,87,7,5,0,13,27,4,636,0.113,0.137,0.83,0.266,0.355,0.538,0.893,0.272,7,0.256,2.5,0.6,2.4,3.2,107,30.2,0.372,140,0.28
2022,"José Ramírez","CLE",157,601,168,90,44,5,29,90,126,69,20,82,6,9,0,5,20,7,685,0.101,0.12,0.84,0.28,0.355,0.514,0.869,0.235,5.3,0.279,2.8,2.6,2.9,0.6,107,28.8,0.363,140,0.282
2023,"José Ramírez","CLE",156,611,172,107,36,5,24,87,80,73,22,73,1,6,0,8,28,6,691,0.106,0.106,1,0.282,0.356,0.475,0.831,0.193,5.7,0.285,2.9,2.3,0.6,1.8,100,15.8,0.346,122,0.279
2020,"Juan Soto","WSN",47,154,54,27,14,0,13,39,37,41,12,28,1,0,0,1,6,2,196,0.209,0.143,1.46,0.351,0.49,0.695,1.185,0.344,4,0.363,-1.5,0.9,-1.2,0.1,51,26.1,0.478,202,0.313
2021,"Juan Soto","WSN",151,502,157,106,20,2,29,111,95,145,23,93,2,5,0,23,9,7,654,0.222,0.142,1.56,0.313,0.465,0.534,0.999,0.221,3.5,0.332,0.5,-1.9,-1.2,-1.9,136,57.3,0.42,164,0.246
2022,"Juan Soto","WSN",101,342,84,45,17,1,21,62,46,91,4,62,3,0,0,11,6,2,436,0.209,0.142,1.47,0.246,0.408,0.485,0.894,0.24,3.5,0.243,-1.3,-1.4,-2.1,-0.2,78,27.7,0.39,154,0.236
2022,"Juan Soto","SDP",52,182,43,28,8,1,6,31,16,44,2,34,1,0,0,1,0,0,228,0.193,0.149,1.29,0.236,0.388,0.39,0.778,0.154,2.4,0.261,-0.3,1,0.4,-0.3,33,7.1,0.349,130,0.275
2023,"Juan Soto","SDP",162,568,156,88,32,1,35,97,109,132,11,129,2,5,1,18,12,5,708,0.186,0.182,1.02,0.275,0.41,0.519,0.93,0.245,3.5,0.296,-2.6,-0.4,0.5,-1.3,131,45,0.395,154,0.288
2022,"Juan Yepez","STL",76,253,64,39,13,0,12,27,30,16,0,61,1,4,0,6,0,0,274,0.058,0.223,0.26,0.253,0.296,0.447,0.742,0.194,0.9,0.283,-1.4,-0.1,-1.8,-0.2,33,2.1,0.319,107,0.283
2022,"Julio Rodríguez","SEA",132,511,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,560,0.071,0.259,0.28,0.284,0.345,0.509,0.853,0.225,6.2,0.345,2,0.6,1.9,1.7,89,25.1,0.366,148,0.275
2023,"Julio Rodríguez","SEA",155,654,180,109,37,2,32,102,103,47,6,175,11,2,0,14,37,10,714,0.066,0.245,0.27,0.275,0.333,0.485,0.818,0.209,6,0.33,4.5,0.6,3.3,1.9,104,17.2,0.347,128,0.273
2020,"Jurickson Profar","SDP",56,180,50,37,6,0,7,28,25,15,0,28,4,2,1,1,7,1,202,0.074,0.139,0.54,0.278,0.343,0.428,0.771,0.15,4.9,0.293,0.8,1.1,-0.6,0.8,28,2.6,0.335,113,0.227
2021,"Jurickson Profar","SDP",137,353,80,57,17,2,4,47,33,49,1,65,6,2,1,12,10,5,412,0.119,0.158,0.75,0.227,0.329,0.32,0.649,0.093,4.9,0.266,0.1,-1.5,0.6,-0.5,43,-7.2,0.293,87,0.243
2022,"Jurickson Profar","SDP",152,575,140,87,36,2,15,82,58,73,0,103,4,3,3,12,5,1,658,0.111,0.157,0.71,0.243,0.331,0.391,0.723,0.148,4,0.272,-1,-0.3,-0.3,-0.1,81,5.5,0.32,110,0.236
2023,"Jurickson Profar","COL",111,415,98,63,25,2,8,51,39,45,0,86,6,5,0,9,1,0,472,0.095,0.182,0.52,0.236,0.316,0.364,0.68,0.128,3.3,0.276,-1.1,-0.8,-1.6,-0.7,51,-7,0.301,73,0.28
2020,"Justin Upton","LAA",42,147,30,16,5,0,9,20,22,11,0,43,7,1,0,6,0,2,166,0.066,0.259,0.26,0.204,0.289,0.422,0.711,0.218,2.5,0.219,0.6,-0.7,0.2,-1,19,-1.8,0.307,91,0.211
2021,"Ke'Bryan Hayes","PIT",96,362,93,65,20,2,6,49,38,31,0,87,1,2,0,11,9,1,396,0.078,0.22,0.36,0.257,0.316,0.373,0.689,0.116,5.6,0.321,0.6,-0.7,0.9,1,44,-4.3,0.301,85,0.244
2022,"Ke'Bryan Hayes","PIT",136,505,123,89,24,3,7,55,41,48,0,122,5,2,0,12,20,5,560,0.086,0.218,0.39,0.244,0.314,0.345,0.659,0.101,5.3,0.307,0.4,-0.9,1.3,1.4,57,-6.8,0.294,86,0.271
2023,"Ke'Bryan Hayes","PIT",124,494,134,81,31,7,15,65,61,28,1,104,0,3,0,11,10,6,525,0.053,0.198,0.27,0.271,0.309,0.453,0.762,0.182,5.7,0.315,-0.6,0.5,1.2,-1.4,67,2.5,0.324,101,0.233
