Season,Name,Team,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,PA,BB.Percent,K.Percent,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,next_AVG
2022,Anthony Rendon,LAA,47,166,38,23,10,0,5,15,24,23,0,35,2,2,0,7,2,0,193,0.11900000000000001,0.18100000000000002,0.66,0.229,0.326,0.38,0.706,0.151,2.7,0.258,0.6,-1.0,0.3,0.2,23,0.6,0.314,103,0.236
2023,Anthony Rendon,LAA,43,148,35,27,6,0,2,23,22,25,0,27,6,4,0,6,2,0,183,0.13699999999999998,0.14800000000000002,0.93,0.236,0.361,0.318,0.678,0.081,3.9,0.268,0.5,-0.7,0.1,0.0,21,-1.0,0.312,96,0.218
2020,Anthony Rizzo,CHC,58,203,45,28,6,0,11,26,24,28,4,38,10,2,0,6,3,1,243,0.115,0.156,0.74,0.222,0.342,0.414,0.755,0.192,2.9,0.218,0.0,-0.4,-0.1,0.0,32,1.3,0.326,103,0.249
2021,Anthony Rizzo,NYY,49,173,43,28,7,0,8,32,21,16,0,28,9,2,0,5,2,0,200,0.08,0.14,0.57,0.249,0.34,0.428,0.768,0.179,4.5,0.252,-0.1,-0.6,-0.4,0.2,28,3.3,0.335,115,0.248
2021,Anthony Rizzo,CHC,92,323,80,47,16,3,14,41,40,36,2,59,14,3,0,10,4,2,376,0.096,0.157,0.61,0.248,0.346,0.446,0.792,0.198,4.3,0.261,-0.3,-0.7,-1.2,-0.4,54,8.3,0.341,114,0.224
2022,Anthony Rizzo,NYY,130,465,104,50,21,1,32,77,75,58,6,101,23,2,0,13,6,5,548,0.106,0.184,0.57,0.224,0.338,0.48,0.817,0.256,3.7,0.216,-2.6,0.3,-0.9,-1.3,81,18.5,0.352,131,0.244
2023,Anthony Rizzo,NYY,99,373,91,65,14,0,12,45,41,35,1,97,12,1,0,10,0,3,421,0.083,0.23,0.36,0.244,0.328,0.378,0.706,0.134,1.8,0.298,-1.1,-0.4,-1.5,-2.1,49,-2.1,0.312,99,0.228
2020,Anthony Santander,BAL,37,153,40,15,13,1,11,24,32,10,3,25,2,0,0,2,0,1,165,0.061,0.152,0.4,0.261,0.315,0.575,0.89,0.314,3.4,0.248,-0.8,0.5,0.2,-0.5,27,6.2,0.364,130,0.241
2021,Anthony Santander,BAL,110,406,98,56,24,0,18,54,50,23,0,101,4,4,1,11,1,1,438,0.053,0.231,0.23,0.241,0.286,0.433,0.72,0.192,2.4,0.275,1.6,0.1,-0.4,-0.5,50,-2.9,0.307,92,0.24
2022,Anthony Santander,BAL,152,574,138,81,24,0,33,78,89,55,1,122,13,5,0,14,0,2,647,0.085,0.18899999999999997,0.45,0.24,0.318,0.455,0.773,0.214,1.6,0.248,1.4,0.3,-0.3,-1.4,87,13.3,0.336,121,0.257
